
System configuration: type=Shared mode=Uncapped smt=4 lcpu=8 mem=8192MB psize=48 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 18.7  12.2    0.0   69.0  0.46  46.3    7.9   691    15   101   0.58 00:00:10    
  1.9   0.6    0.0   97.6  0.04   4.4    1.6   326     1   101   0.56 00:00:20    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   334     1   101   0.56 00:00:30    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   327     1   101   0.56 00:00:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   327     1   101   0.56 00:00:50    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   322     1   101   0.56 00:01:00    
  2.8   2.3    0.0   94.9  0.08   8.4    2.2   346     2   101   0.57 00:01:10    
  1.8   0.6    0.0   97.6  0.04   4.2    1.7   310     1   101   0.56 00:01:20    
  1.9   0.6    0.0   97.4  0.04   4.5    1.5   317     0   101   0.56 00:01:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   317     0   101   0.56 00:01:40    
  1.8   0.7    0.0   97.5  0.04   4.3    1.5   311     0   101   0.56 00:01:50    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   310     1   101   0.56 00:02:00    
  2.8   2.0    0.0   95.2  0.08   7.9    2.2   350     2   101   0.57 00:02:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   311     1   101   0.56 00:02:20    
  1.8   0.8    0.0   97.4  0.05   4.6    1.6   317     1   101   0.56 00:02:30    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   311     0   101   0.56 00:02:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.8   316     1   101   0.56 00:02:50    
  2.5   1.3    0.0   96.3  0.06   6.2    1.7   312     3   101   0.57 00:03:00    
  2.3   1.6    0.0   96.1  0.07   6.7    2.0   316     0   101   0.57 00:03:10    
  2.0   0.6    0.0   97.5  0.04   4.4    1.6   312     1   101   0.56 00:03:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   318     0   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.1   1.0    0.0   96.9  0.05   5.3    1.7   319     0   101   0.57 00:03:40    
  1.8   0.7    0.0   97.6  0.04   4.3    1.5   313     1   101   0.56 00:03:50    
  2.0   0.7    0.0   97.3  0.05   4.6    1.6   313     1   101   0.56 00:04:00    
  2.9   2.0    0.0   95.1  0.08   8.0    2.3   353     2   101   0.57 00:04:10    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   311     0   101   0.56 00:04:20    
  2.4   1.3    0.0   96.3  0.06   6.1    2.0   303     0   101   0.57 00:04:30    
  2.0   0.6    0.0   97.4  0.05   4.6    1.6   303     1   101   0.56 00:04:40    
  2.0   0.7    0.0   97.3  0.05   4.7    1.7   308     1   101   0.57 00:04:50    
  1.9   0.7    0.0   97.4  0.05   4.6    1.5   307     1   101   0.56 00:05:00    
  2.9   2.1    0.0   95.0  0.08   8.2    2.3   324     2   101   0.57 00:05:10    
  1.9   0.5    0.0   97.6  0.04   4.2    1.7   300     0   101   0.56 00:05:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.6   304     1   101   0.57 00:05:30    
  2.0   0.7    0.0   97.3  0.05   4.7    1.7   308     1   101   0.57 00:05:40    
  1.9   0.6    0.0   97.6  0.04   4.3    1.6   300     1   101   0.56 00:05:50    
  2.0   0.9    0.0   97.1  0.05   5.1    1.6   340     1   101   0.56 00:06:00    
  2.8   2.1    0.0   95.1  0.08   8.0    2.1   347     4   101   0.57 00:06:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   296     2   101   0.56 00:06:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   308     0   101   0.56 00:06:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   303     0   101   0.56 00:06:40    
  1.8   0.7    0.0   97.5  0.04   4.4    1.7   299     2   101   0.57 00:06:50    
  1.9   0.7    0.0   97.4  0.04   4.5    1.6   302     1   101   0.56 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.8   2.0    0.0   95.2  0.08   7.9    2.1   312     3   101   0.57 00:07:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   307     0   101   0.56 00:07:20    
  1.9   0.8    0.0   97.2  0.05   4.8    1.5   308     0   101   0.57 00:07:30    
  2.0   0.7    0.0   97.2  0.05   4.8    1.6   306     1   101   0.57 00:07:40    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   301     0   101   0.56 00:07:50    
  2.0   0.7    0.0   97.4  0.05   4.7    1.6   304     2   101   0.56 00:08:00    
  2.9   2.2    0.0   94.9  0.08   8.4    2.0   300     3   101   0.57 00:08:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   299     1   101   0.56 00:08:20    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   306     0   101   0.56 00:08:30    
  2.0   0.6    0.0   97.3  0.05   4.6    1.6   301     1   101   0.57 00:08:40    
  2.0   0.8    0.0   97.2  0.05   4.9    1.7   309     2   101   0.57 00:08:50    
  1.9   0.6    0.0   97.5  0.04   4.3    1.5   309     1   101   0.56 00:09:00    
  2.8   2.0    0.0   95.2  0.08   7.9    2.2   313     2   101   0.57 00:09:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.7   309     0   101   0.56 00:09:20    
  1.9   0.7    0.0   97.4  0.05   4.5    1.5   320     0   101   0.56 00:09:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.7   313     1   101   0.56 00:09:40    
  2.0   0.6    0.0   97.4  0.04   4.5    1.6   313     0   101   0.56 00:09:50    
  1.8   0.7    0.0   97.5  0.04   4.4    1.6   320     1   101   0.56 00:10:00    
  4.5   2.4    0.0   93.1  0.10  10.4    2.6   359     8   101   0.57 00:10:10    
  1.9   0.6    0.0   97.5  0.04   4.4    1.5   305     2   101   0.56 00:10:20    
  2.0   0.7    0.0   97.4  0.05   4.5    1.6   319     2   101   0.56 00:10:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   313     1   101   0.56 00:10:40    
  1.7   0.7    0.0   97.6  0.04   4.2    1.7   311     1   101   0.56 00:10:50    
  2.0   0.6    0.0   97.4  0.04   4.5    1.5   308     2   101   0.56 00:11:00    
  2.9   2.1    0.0   95.1  0.08   8.2    2.0   304     3   101   0.57 00:11:10    
  1.8   0.7    0.0   97.5  0.04   4.3    1.7   300     1   101   0.56 00:11:20    
  1.8   0.7    0.0   97.5  0.04   4.4    1.5   303     0   101   0.56 00:11:30    
  2.0   0.6    0.0   97.3  0.05   4.6    1.6   303     1   101   0.56 00:11:40    
  1.8   0.6    0.0   97.6  0.04   4.3    1.6   303     1   101   0.56 00:11:50    
  1.9   0.7    0.0   97.4  0.05   4.6    1.6   305     2   101   0.56 00:12:00    
  2.9   2.2    0.0   95.0  0.08   8.3    2.0   307     2   101   0.57 00:12:10    
  1.9   0.6    0.0   97.5  0.04   4.3    1.6   299     1   101   0.56 00:12:20    
  2.0   0.6    0.0   97.4  0.05   4.5    1.6   303     0   101   0.57 00:12:30    
  1.7   0.7    0.0   97.5  0.04   4.3    1.5   313     1   101   0.56 00:12:40    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   327     1   101   0.56 00:12:50    
  2.0   0.6    0.0   97.4  0.05   4.5    1.5   306     3   101   0.56 00:13:00    
  2.9   2.1    0.0   94.9  0.08   8.3    2.1   303     1   101   0.57 00:13:10    
  1.8   0.6    0.0   97.6  0.04   4.3    1.7   299     1   101   0.56 00:13:20    
  2.0   0.6    0.0   97.4  0.04   4.5    1.6   305     1   101   0.57 00:13:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   310     0   101   0.57 00:13:40    
  1.9   0.7    0.0   97.5  0.04   4.4    1.6   309     0   101   0.56 00:13:50    
  2.4   1.1    0.0   96.6  0.06   5.6    1.8   306     2   101   0.57 00:14:00    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  2.3   1.6    0.0   96.1  0.07   6.8    1.8   311     1   101   0.57 00:14:10    
  2.0   0.6    0.0   97.4  0.04   4.5    1.6   309     0   101   0.56 00:14:20    
  1.9   0.7    0.0   97.4  0.04   4.4    1.6   317     0   101   0.56 00:14:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   300     0   101   0.56 00:14:40    
 18.4  16.3    0.3   64.9  0.51  50.5    8.2   869    18   101   0.58 00:14:50    
  2.5   1.0    0.0   96.5  0.06   6.0    1.5   347     2   101   0.57 00:15:00    
  2.3   2.1    0.0   95.6  0.07   7.5    1.8   391     2   101   0.57 00:15:10    
  1.7   0.7    0.0   97.5  0.04   4.4    1.7   313     0   101   0.56 00:15:20    
  1.9   0.6    0.0   97.4  0.05   4.5    1.5   312     0   101   0.56 00:15:30    
  1.9   0.6    0.0   97.5  0.04   4.4    1.6   309     1   101   0.56 00:15:40    
  1.8   0.6    0.0   97.5  0.04   4.3    1.6   303     0   101   0.56 00:15:50    
  1.9   0.7    0.0   97.5  0.04   4.5    1.7   307     1   101   0.56 00:16:00    
  2.9   2.0    0.0   95.1  0.08   7.9    2.0   314     2   101   0.57 00:16:10    
