
System configuration: type=Shared mode=Uncapped smt=4 lcpu=32 mem=16384MB psize=12 ent=4.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 61.3  34.3    0.1    4.3  6.92 172.9   81.8  0.30 24694     0   101   1.21 00:00:10    
 47.1  27.9    0.1   24.9  7.03 175.8   48.2  0.82 17268     0   101   1.21 00:00:20    
 35.9  26.0    0.1   38.0  6.40 160.1   25.5  2.37  6948     0   101   1.21 00:00:30    
 34.8  24.3    0.0   40.9  4.05 101.3   15.6  5.50  3460     0   101   1.21 00:00:40    
 37.6  18.1    0.0   44.3  3.71  92.8   12.7  5.56  2108     0   101   1.21 00:00:50    
 37.2  12.4    0.0   50.3  3.28  82.0   13.3  6.44  1860     0   101   1.21 00:01:00    
 41.2  22.0    0.0   36.8  4.95 123.6   21.0  4.36  4372     0   101   1.21 00:01:10    
 35.8  17.1    0.0   47.2  3.47  86.6   14.8  6.11  2251     0   101   1.21 00:01:20    
 37.8  22.1    0.0   40.1  4.20 104.9   14.4  5.13  2759     0   101   1.21 00:01:30    
 35.4  18.7    0.1   45.8  3.59  89.7   13.6  6.26  2958     0   101   1.21 00:01:40    
 37.6  16.5    0.0   45.9  3.60  90.1   13.8  5.66  2231     0   101   1.21 00:01:50    
 32.9  20.6    0.0   46.5  3.54  88.5   13.3  6.18  2563     0   101   1.21 00:02:00    
 43.4  21.5    0.0   35.1  4.05 101.2   19.4  5.25  4127     0   101   1.21 00:02:10    
 31.4  21.7    0.0   46.9  3.55  88.7   13.1  5.11  2420     0   101   1.21 00:02:20    
 32.8  17.0    0.0   50.1  3.32  83.1   12.6  5.25  2086     0   101   1.21 00:02:30    
 27.2  18.3    0.0   54.5  3.08  77.0   11.7  6.17  2022     0   101   1.21 00:02:40    
 25.5  16.5    0.0   58.0  2.82  70.6   10.5  6.77  1781     0   101   1.21 00:02:50    
 31.2  11.2    0.0   57.6  2.74  68.6   12.1  6.53  1528     0   101   1.21 00:03:00    
 44.0  24.6    0.0   31.3  5.94 148.4   32.5  3.49  7501     0   101   1.21 00:03:10    
 39.3  20.5    0.0   40.2  4.08 102.1   16.4  4.29  5688     0   101   1.21 00:03:20    
 32.1  22.1    0.0   45.8  3.64  91.0   12.7  5.00  2701     0   101   1.21 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 31.7  14.5    0.0   53.7  3.12  78.0   11.5  5.18  2046     0   101   1.21 00:03:40    
 41.8  17.5    0.0   40.7  3.95  98.8   14.4  4.07  2455     0   101   1.21 00:03:50    
 33.2  18.5    0.0   48.3  3.39  84.9   13.2  4.97  2380     0   101   1.21 00:04:00    
 40.1  24.5    0.0   35.4  4.96 123.9   23.5  3.11  9416     0   101   1.21 00:04:10    
 37.9  22.1    0.0   40.1  4.27 106.7   15.6  4.18  4628     0   101   1.21 00:04:20    
 40.2  14.0    0.0   45.7  3.63  90.8   13.8  4.59  2203     0   101   1.21 00:04:30    
 38.2  20.9    0.0   40.9  4.42 110.5   15.2  4.22  7112     0   101   1.21 00:04:40    
 36.3  15.6    0.0   48.0  3.48  86.9   12.5  4.60  2928     0   101   1.21 00:04:50    
 35.6  14.8    0.0   49.6  3.35  83.8   13.2  5.31  1800     0   101   1.21 00:05:00    
 46.1  23.3    0.0   30.6  5.99 149.7   32.5  1.81  9420     0   101   1.21 00:05:10    
 41.1  19.4    0.0   39.5  4.33 108.4   17.6  4.09  7507     0   101   1.21 00:05:20    
 36.8  23.0    0.0   40.2  4.35 108.6   14.9  4.00  3070     0   101   1.21 00:05:30    
 33.1  16.0    0.0   51.0  3.31  82.7   12.5  5.20  5512     0   101   1.21 00:05:40    
 33.1  24.1    0.0   42.7  3.88  97.1   14.2  4.39  4465     0   101   1.21 00:05:50    
 30.4  19.5    0.0   50.1  3.15  78.7   14.0  5.12  3247     0   101   1.21 00:06:00    
 41.6  25.5    0.0   32.8  5.21 130.2   31.1  3.01  7694     0   101   1.21 00:06:10    
 35.7  24.2    0.0   40.0  4.06 101.4   14.3  3.91  4547     0   101   1.21 00:06:20    
 36.9  22.3    0.0   40.8  4.86 121.4   17.1  3.79  8307     0   101   1.21 00:06:30    
 35.1  22.2    0.0   42.7  3.83  95.9   13.8  4.46  2756     0   101   1.21 00:06:40    
 30.7  18.7    0.0   50.6  3.32  83.1   13.0  5.11  4540     0   101   1.21 00:06:50    
 27.8  20.3    0.0   51.9  3.15  78.7   13.2  5.52  3502     0   101   1.21 00:07:00    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 37.2  21.5    0.0   41.2  3.64  90.9   17.0  4.75  3749     0   101   1.21 00:07:10    
 24.5  15.2    0.0   60.2  2.66  66.5   11.0  5.62  1666     0   101   1.21 00:07:20    
 28.2  18.7    0.0   53.0  3.11  77.7   11.6  5.30  2252     0   101   1.21 00:07:30    
 24.5  18.5    0.0   56.9  2.94  73.5   11.3  5.48  3161     0   101   1.21 00:07:40    
 27.4  21.2    0.0   51.4  3.27  81.6   12.1  4.99  2602     0   101   1.21 00:07:50    
 33.2  12.5    0.0   54.3  2.88  72.0   12.4  5.51  2100     0   101   1.21 00:08:01    
 40.2  22.6    0.0   37.2  5.53 138.2   24.9  2.52  7115     0   101   1.21 00:08:11    
 37.3  21.9    0.0   40.7  3.95  98.9   14.8  4.46  5203     0   101   1.21 00:08:21    
 33.7  20.0    0.0   46.3  3.58  89.4   14.0  4.46  2536     0   101   1.21 00:08:31    
 22.8  15.8    0.0   61.4  2.59  64.8   10.2  6.08  1810     0   101   1.21 00:08:41    
 22.5  13.3    0.0   64.2  2.39  59.7    9.8  5.68  1755     0   101   1.21 00:08:51    
 26.6  17.8    0.0   55.6  2.74  68.5   13.4  5.88  1727     0   101   1.21 00:09:01    
 43.1  24.8    0.0   32.2  4.27 106.7   22.9  3.80  5996     0   101   1.21 00:09:11    
 40.2  19.2    0.0   40.6  4.03 100.7   14.3  4.47  3289     0   101   1.21 00:09:21    
 42.6  17.3    0.0   40.1  3.99  99.6   14.4  4.20  2917     0   101   1.21 00:09:31    
 30.2  12.4    0.0   57.5  2.88  72.0   11.8  5.58  1978     0   101   1.21 00:09:41    
 38.6  20.9    0.0   40.5  3.97  99.3   13.7  4.45  2750     0   101   1.21 00:09:51    
 23.8  11.3    0.0   64.8  2.15  53.8   12.5  5.88  2360     0   101   1.21 00:10:01    
