
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=8192MB psize=12 ent=1.00 

%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 57.5  38.5    0.3    3.7  2.38 238.0   91.4  0.28  9959     0   101   1.21 00:00:11    
 44.3  24.7    0.4   30.7  2.34 233.5   36.0  0.85  5267     0   101   1.21 00:00:21    
 35.1  28.4    0.1   36.5  1.54 154.4   18.4  2.45  2117     0   101   1.21 00:00:31    
 39.3  14.4    0.0   46.3  0.91  90.8    8.9  5.66   816     0   101   1.21 00:00:41    
 48.5  10.8    0.0   40.8  1.04 104.3    9.5  5.52   783     0   101   1.21 00:00:51    
 34.2  13.3    0.0   52.4  0.79  78.6    9.7  6.36   871     0   101   1.21 00:01:01    
 48.8  11.0    0.0   40.2  1.05 105.5    9.6  4.45   744     0   101   1.21 00:01:11    
 32.4  13.5    0.0   54.1  0.77  77.1    9.2  6.07   954     0   101   1.21 00:01:21    
 48.6  11.1    0.0   40.3  1.12 112.3    9.8  5.20   863     0   101   1.21 00:01:31    
 27.6   9.1    0.0   63.3  0.62  62.2    7.2  6.17   539     0   101   1.21 00:01:41    
 47.3  12.8    0.0   39.8  1.14 113.9   11.6  5.75   837     0   101   1.21 00:01:51    
 36.4  12.2    0.0   51.4  0.80  80.5    9.2  6.06   762     0   101   1.21 00:02:01    
 44.4  15.7    0.0   39.9  1.23 123.1   11.9  5.36  1132     0   101   1.21 00:02:11    
 47.4  12.2    0.0   40.3  1.00 100.2    9.8  5.07   968     0   101   1.21 00:02:21    
 41.3  14.3    0.0   44.4  0.93  93.3    9.7  5.26   724     0   101   1.21 00:02:31    
 49.4  11.4    0.0   39.2  1.16 116.0   11.8  6.18   746     0   101   1.21 00:02:41    
 30.9  12.7    0.0   56.4  0.73  73.5    8.4  6.77   726     0   101   1.21 00:02:51    
 48.7  11.8    0.1   39.4  1.17 117.0   10.9  6.45   773     0   101   1.21 00:03:01    
 32.2  15.6    0.0   52.2  0.79  79.0    9.4  3.45  1068     0   101   1.21 00:03:11    
 47.2  12.8    0.0   40.0  1.22 121.5   11.8  4.28   880     0   101   1.21 00:03:21    
 32.1   8.9    0.0   59.0  0.69  68.6    7.9  5.15   855     0   101   1.21 00:03:31    
%user  %sys  %wait  %idle physc %entc  lbusy   app  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------   --- ----- ----- -----  ------ --------
 47.0  12.0    0.0   41.0  1.03 103.3    9.2  5.06   647     0   101   1.21 00:03:41    
 36.6   9.7    0.0   53.7  0.78  77.6    8.3  4.16   651     0   101   1.21 00:03:51    
 45.2  13.7    0.0   41.0  0.99  99.5    9.6  4.79   717     0   101   1.21 00:04:01    
 43.1  17.0    0.0   40.0  1.02 102.2   11.3  3.15  1647     0   101   1.21 00:04:11    
 32.3  11.7    0.0   56.0  0.75  74.9    7.6  4.19   736     0   101   1.21 00:04:21    
 49.0  10.5    0.0   40.5  1.14 113.9   10.7  4.63  1048     0   101   1.21 00:04:31    
