
System configuration: type=Shared mode=Uncapped smt=4 lcpu=12 mem=6144MB psize=48 ent=2.00 

%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
 39.7  28.3    0.3   31.7  1.96  98.1   19.8  4387    94   101   0.58 00:00:10    
 55.9  21.3    0.4   22.4  2.61 130.7   33.9  3596   110   101   0.58 00:00:20    
 45.2  21.4    0.1   33.3  2.21 110.4   20.4  5687    71   101   0.58 00:00:30    
 22.7   6.6    0.3   70.5  0.95  47.4    9.2  2699    16   101   0.58 00:00:40    
 23.8   4.9    0.1   71.1  0.93  46.7    9.1  1824     9   101   0.58 00:00:50    
  7.3   4.3    0.1   88.3  0.41  20.4    5.6  3170     4   101   0.57 00:01:00    
 11.6   7.3    1.4   79.6  0.58  29.1    8.5  3186    28   101   0.57 00:01:10    
  0.8   1.5    0.1   97.5  0.09   4.5    4.1   880     3   101   0.56 00:01:20    
  1.5   3.6    0.3   94.7  0.18   9.0    4.9  2090    10   101   0.56 00:01:30    
  1.0   3.3    0.1   95.6  0.17   8.6    4.8  2915     5   101   0.55 00:01:40    
  0.9   1.9    0.1   97.1  0.10   5.1    4.2  1089     4   101   0.56 00:01:50    
  1.0   3.6    0.1   95.3  0.18   9.2    5.1  3117     4   101   0.55 00:02:00    
  1.7   2.5    0.1   95.7  0.15   7.7    4.7  1173     5   101   0.56 00:02:10    
  0.8   1.5    0.2   97.6  0.08   4.2    4.5   783     4   101   0.56 00:02:20    
  1.1   4.6    0.1   94.2  0.22  11.2    5.6  3544     9   101   0.55 00:02:30    
  1.0   1.2    0.1   97.8  0.08   3.9    3.9   606     2   101   0.56 00:02:40    
  0.9   4.2    0.1   94.9  0.20   9.9    5.0  3749     7   101   0.55 00:02:50    
  1.0   1.5    0.1   97.4  0.09   4.7    4.1   930     1   101   0.56 00:03:00    
  1.6   2.3    0.1   96.0  0.14   7.0    4.7  1224     5   101   0.56 00:03:10    
  0.9   3.8    0.2   95.1  0.19   9.7    5.7  3453    11   101   0.55 00:03:20    
  1.1   2.3    0.2   96.4  0.13   6.6    4.4  1626     3   101   0.56 00:03:30    
%user  %sys  %wait  %idle physc %entc  lbusy  vcsw phint  %nsp  %utcyc  Time  
----- ----- ------ ------ ----- ----- ------ ----- ----- -----  ------ --------
  1.1   2.4    0.1   96.5  0.13   6.6    4.3  2039     3   101   0.55 00:03:40    
